image_path,group_id,group_size
data/D1/Anthracnose/1730354693037.png,0,5
data/D1/Anthracnose/1730354693052.png,0,5
data/D1/Anthracnose/53e45a15-9c45-40be-bd04-6a637b31d5fd.png,1,2
data/D1/Anthracnose/Anthracnose(105).png,2,2
data/D1/Anthracnose/Anthracnose(108).png,3,2
data/D1/Anthracnose/Anthracnose(114).png,4,2
data/D1/Anthracnose/Anthracnose(116).png,5,2
data/D1/Anthracnose/Anthracnose(117).png,6,2
data/D1/Anthracnose/Anthracnose(126).png,7,2
data/D1/Anthracnose/Anthracnose(135).png,8,2
data/D1/Anthracnose/Anthracnose(147).png,9,2
data/D1/Anthracnose/Anthracnose(153).png,10,2
data/D1/Anthracnose/Anthracnose(159).png,11,2
data/D1/Anthracnose/Anthracnose(174).png,12,2
data/D1/Anthracnose/Anthracnose(179).png,13,1
data/D1/Anthracnose/Anthracnose(180).png,14,2
data/D1/Anthracnose/Anthracnose(186).png,15,2
data/D1/Anthracnose/Anthracnose(192).png,16,1
data/D1/Anthracnose/Anthracnose(196).png,17,2
data/D1/Anthracnose/Anthracnose(198).png,18,1
data/D1/Anthracnose/Anthracnose(204).png,19,2
data/D1/Anthracnose/Anthracnose(207).png,20,2
data/D1/Anthracnose/Anthracnose(211).png,21,2
data/D1/Anthracnose/Anthracnose(213).png,22,2
data/D1/Anthracnose/Anthracnose(216).png,23,2
data/D1/Anthracnose/Anthracnose(222).png,24,1
data/D1/Anthracnose/Anthracnose(227).png,25,2
data/D1/Anthracnose/Anthracnose(246).png,26,2
data/D1/Anthracnose/Anthracnose(249).png,27,2
data/D1/Anthracnose/Anthracnose(252).png,28,3
data/D1/Anthracnose/Anthracnose(258).png,29,2
data/D1/Anthracnose/Anthracnose(259).png,30,2
data/D1/Anthracnose/Anthracnose(260).png,31,2
data/D1/Anthracnose/Anthracnose(261).png,32,1
data/D1/Anthracnose/Anthracnose(264).png,33,2
data/D1/Anthracnose/Anthracnose(267).png,34,2
data/D1/Anthracnose/Anthracnose(270).png,35,1
data/D1/Anthracnose/Anthracnose(291).png,36,2
data/D1/Anthracnose/Anthracnose(292).png,37,2
data/D1/Anthracnose/Anthracnose(294).png,38,2
data/D1/Anthracnose/Anthracnose(333).png,39,2
data/D1/Anthracnose/Anthracnose(52).png,40,2
data/D1/Anthracnose/Anthracnose(75).png,41,1
data/D1/Anthracnose/Anthracnose(84).png,42,2
data/D1/Anthracnose/Anthracnose_decreased_1.png,0,5
data/D1/Anthracnose/Anthracnose_decreased_10.png,8,2
data/D1/Anthracnose/Anthracnose_decreased_11.png,9,2
data/D1/Anthracnose/Anthracnose_decreased_12.png,10,2
data/D1/Anthracnose/Anthracnose_decreased_13.png,11,2
data/D1/Anthracnose/Anthracnose_decreased_14.png,12,2
data/D1/Anthracnose/Anthracnose_decreased_15.png,43,1
data/D1/Anthracnose/Anthracnose_decreased_16.png,14,2
data/D1/Anthracnose/Anthracnose_decreased_17.png,15,2
data/D1/Anthracnose/Anthracnose_decreased_18.png,44,1
data/D1/Anthracnose/Anthracnose_decreased_19.png,17,2
data/D1/Anthracnose/Anthracnose_decreased_2.png,0,5
data/D1/Anthracnose/Anthracnose_decreased_20.png,45,1
data/D1/Anthracnose/Anthracnose_decreased_21.png,19,2
data/D1/Anthracnose/Anthracnose_decreased_22.png,20,2
data/D1/Anthracnose/Anthracnose_decreased_23.png,21,2
data/D1/Anthracnose/Anthracnose_decreased_24.png,22,2
data/D1/Anthracnose/Anthracnose_decreased_25.png,23,2
data/D1/Anthracnose/Anthracnose_decreased_26.png,46,1
data/D1/Anthracnose/Anthracnose_decreased_27.png,25,2
data/D1/Anthracnose/Anthracnose_decreased_28.png,26,2
data/D1/Anthracnose/Anthracnose_decreased_29.png,27,2
data/D1/Anthracnose/Anthracnose_decreased_3.png,1,2
data/D1/Anthracnose/Anthracnose_decreased_30.png,28,3
data/D1/Anthracnose/Anthracnose_decreased_31.png,29,2
data/D1/Anthracnose/Anthracnose_decreased_32.png,30,2
data/D1/Anthracnose/Anthracnose_decreased_33.png,31,2
data/D1/Anthracnose/Anthracnose_decreased_34.png,47,1
data/D1/Anthracnose/Anthracnose_decreased_35.png,33,2
data/D1/Anthracnose/Anthracnose_decreased_36.png,34,2
data/D1/Anthracnose/Anthracnose_decreased_37.png,48,1
data/D1/Anthracnose/Anthracnose_decreased_38.png,36,2
data/D1/Anthracnose/Anthracnose_decreased_39.png,37,2
data/D1/Anthracnose/Anthracnose_decreased_4.png,2,2
data/D1/Anthracnose/Anthracnose_decreased_40.png,38,2
data/D1/Anthracnose/Anthracnose_decreased_41.png,39,2
data/D1/Anthracnose/Anthracnose_decreased_42.png,40,2
data/D1/Anthracnose/Anthracnose_decreased_43.png,49,1
data/D1/Anthracnose/Anthracnose_decreased_44.png,42,2
data/D1/Anthracnose/Anthracnose_decreased_46.png,50,2
data/D1/Anthracnose/Anthracnose_decreased_47.png,51,2
data/D1/Anthracnose/Anthracnose_decreased_5.png,3,2
data/D1/Anthracnose/Anthracnose_decreased_6.png,4,2
data/D1/Anthracnose/Anthracnose_decreased_7.png,5,2
data/D1/Anthracnose/Anthracnose_decreased_8.png,6,2
data/D1/Anthracnose/Anthracnose_decreased_9.png,7,2
data/D1/Anthracnose/IMG20241103151558.png,50,2
data/D1/Anthracnose/IMG20241103151610.png,51,2
data/D1/BacterialSpot/BacterialSpot(118).jpg,52,1
data/D1/BacterialSpot/BacterialSpot(120).jpg,53,1
data/D1/BacterialSpot/BacterialSpot(133).jpg,54,1
data/D1/BacterialSpot/BacterialSpot(134).jpg,55,1
data/D1/BacterialSpot/BacterialSpot(135).jpg,56,1
data/D1/BacterialSpot/BacterialSpot(137).jpg,57,1
data/D1/BacterialSpot/BacterialSpot(142).jpg,58,1
data/D1/BacterialSpot/BacterialSpot(143).jpg,59,1
data/D1/BacterialSpot/BacterialSpot(144).jpg,60,1
data/D1/BacterialSpot/BacterialSpot(148).jpg,61,1
data/D1/BacterialSpot/BacterialSpot(150).jpg,62,1
data/D1/BacterialSpot/BacterialSpot(154).jpg,63,1
data/D1/BacterialSpot/BacterialSpot(155).jpg,64,1
data/D1/BacterialSpot/BacterialSpot(157).jpg,65,1
data/D1/BacterialSpot/BacterialSpot(159).jpg,66,1
data/D1/BacterialSpot/BacterialSpot(16).jpg,67,1
data/D1/BacterialSpot/BacterialSpot(163).jpg,68,1
data/D1/BacterialSpot/BacterialSpot(184).jpg,69,1
data/D1/BacterialSpot/BacterialSpot(186).jpg,70,1
data/D1/BacterialSpot/BacterialSpot(189).jpg,71,1
data/D1/BacterialSpot/BacterialSpot(191).jpg,72,1
data/D1/BacterialSpot/BacterialSpot(193).jpg,73,1
data/D1/BacterialSpot/BacterialSpot(194).jpg,74,1
